Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
22389.2734,2.64697981,171.271149,10.606534,16.6432972
22904.2266,1.68931222,-163.599548,7.86470842,-87.056366
23431.0234,0.590386033,-145.667374,4.2148385,-87.6403046
23969.9375,-3.79388165,-135.603912,-1.01850331,-110.210495
24521.2461,-9.78701591,-120.511353,-8.68780708,-100.673088
25085.2344,-9.04318714,-142.431992,-6.6120863,-131.851089
25662.1953,-30.2695427,-42.3192558,-30.5202675,-34.7650108
26252.4258,-7.64786053,13.2920408,-10.6431217,14.2599077
26856.2324,-17.096365,-176.330276,-15.7927704,-175.700317
27473.9258,-26.3306007,-30.357872,-26.6931534,-31.1268978
28105.8262,-26.2770729,112.668892,-26.1264267,108.239326
28752.2598,-27.0742435,173.980499,-26.6836624,174.352692
29413.5625,-20.8598576,-88.8378296,-20.9417,-88.4764481
30090.0742,-2.18610024,-144.575836,-0.875581264,-141.204269
30782.1465,-23.3223171,88.349884,-23.3842163,88.7830658
31490.1367,-15.3902969,75.3147736,-15.9495764,74.41008
32214.4102,-11.6550598,41.5466461,-13.3594093,40.1467018
32955.3398,-17.5115318,176.492294,-16.2731133,176.187866
33713.3125,-24.6106606,128.817245,-24.2949409,125.353859
34488.7188,-11.6315355,150.269409,-9.52208042,143.75238
35281.9609,-9.42787266,121.493629,-8.24355125,101.461327
36093.4453,-3.2305994,136.170425,-0.399091929,108.816856
36923.5938,0.292129308,-152.041855,0.456500947,-132.02919
37772.8359,1.69225001,-171.173538,10.7309074,5.08257341
38641.6094,-3.27552843,-162.218231,4.49287701,-123.470329
39530.3672,-5.11206961,-171.240204,0.661347091,172.573273
40439.5664,0,-180,2.09164572,-180
41369.6758,0,-180,1.37773526,180
42321.1797,0,-180,2.24226809,180
43294.5664,0,-180,0.752760231,-180
44290.3398,0,-180,1.95253122,-180
45309.0195,0,-180,2.17542458,-180
46351.1289,0,-180,2.0935092,180
47417.2031,0,-180,3.61560202,180
48507.8008,0,-180,1.80387533,-180
49623.4805,-1.04E-06,-180,2.60392451,-180
50764.8203,0,-180,1.98307931,180
51932.4102,-1.04E-06,-180,2.70159698,180
53126.8555,0,-180,1.53555691,-180
54348.7734,0,-180,2.38234758,-180
55598.7969,-1.04E-06,-180,1.79474783,180
56877.5703,0,-180,2.52042913,180
58185.7539,0,-180,1.13838017,-180
59524.0273,0,-180,2.16779041,-180
60893.082,-1.04E-06,-180,1.11860335,180
62293.6211,0,-180,2.3322742,180
63726.375,0,-180,0.618051171,-180
65192.082,-1.04E-06,-180,2.02139187,-180
66691.5,-1.04E-06,-180,8.5260458,180
68225.4062,0,-180,2.18877983,180
69794.5938,0,-180,3.64783216,180
71399.8672,0,-180,1.88197982,-180
73042.0625,0,-180,2.58150697,-180
74722.0312,0,-180,2.06419373,180
76440.6406,-1.04E-06,-180,3.11216283,180
78198.7734,0,-180,1.66830003,-180
